GSTP1
GANAB
DPYSL2
PSAP
PLA2G6
TNFRSF1A
CHSY1
MTR
ABCA1
CSNK1D
ABCA2
SLC6A2
BRCA2
RPS24
GAP43
HTR1A
FLG
IL12RB1
MMP2
KLC2
ESR2
COL6A3
RPS27A
DRD4
BAX
C1R
STAT6
GCG
RPS6KA3
PARK7
PPBP
ENO2
CHCHD10
SORL1
BECN1
COG2
NPC1
RPS19
PRKCSH
PIN1
CALM2
TRAF6
MPI
GSK3B
DRD3
MYC
FUS
BCHE
IL6
GSTO2
CAPN1
ENO1
HTR2C
MSH6
ABCA7
LAMP1
TOMM40
BLMH
CDK5
CDKN2B-AS1
HSPG2
CFL1
IDE
TTR
DPM1
TUBB3
UCHL1
GAPDH
APBA3
NUP188
GPI
EXT1
LPO
CTSD
GDNF
SLC25A4
B2M
GSR
LIPC
BLVRB
COL2A1
CIB1
TYK2
NPY
APOA1
RPLP0
C1S
DDIT3
NTF3
HLA-DRB1
MIR15A
GSTP1
LRP1
BACE1
LARGE
SOX2
ADORA2A
DOCK8
BDNF
CYP2D6
CNTF 
HFE
IFNA1
CHRNA7 
INS 
SORL1
ADSS
APOE
HBA1 















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































