Precentral_L_-_中央前回左半脑
Temporal_Pole_Sup_L_-_颞极：颞上回左半脑
Temporal_Pole_Sup_R_-_颞极：颞上回右半脑
Temporal_Mid_L_-_颞中回左半脑
Temporal_Mid_R_-_颞中回右半脑
Temporal_Pole_Mid_L_-_颞极：颞中回左半脑
Temporal_Pole_Mid_R_-_颞极：颞中回右半脑
Temporal_Inf_L_-_颞下回左半脑
Temporal_Inf_R_-_颞下回右半脑
Cerebellum_Crus1_L_-_小脑上腭部1左半脑
Cerebellum_Crus1_R_-_小脑上腭部1右半脑
Cerebellum_Crus2_L_-_小脑上腭部2左半脑
Cerebellum_Crus2_R_-_小脑上腭部2右半脑
Cerebellum_3_L_-_小脑3左半脑
Cerebellum_3_R_-_小脑3右半脑
Cerebellum_4_5_L_-_小脑4，5左半脑
Cerebellum_4_5_R_-_小脑4，5右半脑
Cerebellum_6_L_-_小脑6左半脑
Cerebellum_6_R_-_小脑6右半脑
Cerebellum_7b_L_-_小脑7b左半脑
Cerebellum_7b_R_-_小脑7b右半脑
Cerebellum_8_L_-_小脑8左半脑
Cerebellum_8_R_-_小脑8右半脑
Cerebellum_9_L_-_小脑9左半脑
Cerebellum_9_R_-_小脑9右半脑
Cerebellum_10_L_-_小脑10左半脑
Cerebellum_10_R_-_小脑10右半脑
Vermis_1_2_-_小脑蚓部1，2
Vermis_3_-_小脑蚓部3
Vermis_4_5_-_小脑蚓部4，5
Vermis_6_-_小脑蚓部6
Vermis_7_-_小脑蚓部7
Vermis_8_-_小脑蚓部8
Vermis_9_-_小脑蚓部9
Vermis_10_-_小脑蚓部10
Thal_AV_L_-_丘脑腹侧核左侧
Thal_AV_R_-_丘脑腹侧核右侧
Thal_LP_L_-_丘脑侧后核左侧
Thal_LP_R_-_丘脑侧后核右侧
Thal_VA_L_-_丘脑腹侧核左侧
Thal_VA_R_-_丘脑腹侧核右侧
Thal_VL_L_-_丘脑腹侧外核左侧
Thal_VL_R_-_丘脑腹侧外核右侧
Thal_VPL_L_-_丘脑腹侧后外核左侧
Thal_VPL_R_-_丘脑腹侧后外核右侧
Thal_IL_L_-_丘脑层内核左侧
Thal_IL_R_-_丘脑层内核右侧
Thal_Re_L_-_丘脑复合核左侧
Thal_Re_R_-_丘脑复合核右侧
Thal_MDm_L_-_丘脑中背核左侧
Thal_MDm_R_-_丘脑中背核右侧
Thal_MDl_L_-_丘脑侧背核左侧
Thal_MDl_R_-_丘脑侧背核右侧
Thal_LGN_L_-_丘脑侧脑室核左侧
Thal_LGN_R_-_丘脑侧脑室核右侧
Thal_MGN_L_-_丘脑中脑室核左侧
Thal_MGN_R_-_丘脑中脑室核右侧
Thal_PuI_L_-_丘脑垂体核下核左侧
Thal_PuI_R_-_丘脑垂体核下核右侧
Thal_PuM_L_-_丘脑垂体核中核左侧
Thal_PuM_R_-_丘脑垂体核中核右侧
Thal_PuA_L_-_丘脑垂体核前核左侧
Thal_PuA_R_-_丘脑垂体核前核右侧
Thal_PuL_L_-_丘脑垂体核外侧核左侧
Thal_PuL_R_-_丘脑垂体核外侧核右侧
ACC_sub_L_-_前扣带皮质下部左侧
ACC_sub_R_-_前扣带皮质下部右侧
ACC_pre_L_-_前扣带皮质前部左侧
ACC_pre_R_-_前扣带皮质前部右侧
ACC_sup_L_-_前扣带皮质上部左侧
ACC_sup_R_-_前扣带皮质上部右侧
N_Acc_L_-_带状核左侧
N_Acc_R_-_带状核右侧
VTA_L_-_腹侧丘脑区左侧
VTA_R_-_腹侧丘脑区右侧
SN_pc_L_-_黑质致密部左侧
SN_pc_R_-_黑质致密部右侧
SN_pr_L_-_黑质网状部左侧
SN_pr_R_-_黑质网状部右侧
Red_N_L_-_红核左侧
Red_N_R_-_红核右侧
LC_L_-_蓝斑左侧
LC_R_-_蓝斑右侧
Raphe_D_-_中缝核，背侧
Raphe_M_-_中缝核，中央
